run_id,model,optimizer_managed_numel,realized_nonzero_update_count,modelwide_realized_nonzero_ratio,denominator_definition
pd8b-dense-lam100-lr01-s42-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr01-s43-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr01-s44-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr05-s42-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr05-s43-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr05-s44-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr10-s42-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr10-s43-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr10-s44-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr20-s42-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr20-s43-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam100-lr20-s44-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr01-s42-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr01-s43-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr01-s44-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr05-s42-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr05-s43-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr05-s44-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr10-s42-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr10-s43-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr10-s44-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr20-s42-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr20-s43-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-dense-lam010-lr20-s44-rl160,Qwen3-8B,7069483145,7069483145,1.000000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr01-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr01-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr01-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr05-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr05-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr05-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr10-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr10-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr10-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr20-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr20-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam100-lr20-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr01-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr01-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr01-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr05-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr05-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr05-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr10-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr10-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr10-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr20-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr20-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-top040-lam010-lr20-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd1p7b-dense-lam100-lr01-s42-rl160,Qwen3-1.7B,1434387562,1434387562,1.000000000,actor_optimizer_param_groups
pd1p7b-dense-lam100-lr01-s43-rl160,Qwen3-1.7B,1434387562,1434387562,1.000000000,actor_optimizer_param_groups
pd1p7b-dense-lam100-lr01-s44-rl160,Qwen3-1.7B,1434387562,1434387562,1.000000000,actor_optimizer_param_groups
pd1p7b-top040-lam010-lr20-s42-rl160,Qwen3-1.7B,1434387562,563714312,0.393000000,actor_optimizer_param_groups
pd1p7b-top040-lam010-lr20-s43-rl160,Qwen3-1.7B,1434387562,563714312,0.393000000,actor_optimizer_param_groups
pd1p7b-top040-lam010-lr20-s44-rl160,Qwen3-1.7B,1434387562,563714312,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-frozen-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-frozen-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-frozen-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-oracle-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-oracle-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-oracle-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-staticmag-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-staticmag-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-staticmag-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-random040-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-random040-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-random040-s44-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-complement-s42-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
pd8b-ctrl-complement-s43-rl160,Qwen3-8B,7069483145,2778306876,0.393000000,actor_optimizer_param_groups
