run_id,condition,seed,rl_step,step_wall_clock_seconds,includes_rollout,includes_evaluation,includes_checkpoint
pd8b-dense-lam100-lr01-s42-rl160,dense,42,41,11.956203,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,42,11.962615,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,43,11.9693,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,44,11.976121,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,45,11.98294,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,46,11.989618,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,47,11.996018,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,48,12.00201,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,49,12.007472,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,50,12.012293,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,51,12.016375,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,52,12.019634,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,53,12.022004,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,54,12.023437,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,55,12.023904,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,56,12.023394,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,57,12.021919,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,58,12.019508,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,59,12.016211,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,60,12.012095,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,61,12.007243,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,62,12.001755,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,63,11.995742,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,64,11.989327,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,65,11.98264,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,66,11.975818,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,67,11.969,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,68,11.962324,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,69,11.955927,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,70,11.949939,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,71,11.944482,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,72,11.939667,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,73,11.935592,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,74,11.932341,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,75,11.929979,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,76,11.928554,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,77,11.928096,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,78,11.928615,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,79,11.930098,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,80,11.932517,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,81,11.935822,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,82,11.939945,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,83,11.944803,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,84,11.950296,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,85,11.956313,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,86,11.962731,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,87,11.96942,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,88,11.976242,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,89,11.98306,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,90,11.989734,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,91,11.996128,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,92,12.002112,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,93,12.007564,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,94,12.012372,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,95,12.01644,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,96,12.019684,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,97,12.022038,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,98,12.023454,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,99,12.023903,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,100,12.023376,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,101,12.021884,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,102,12.019458,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,103,12.016145,True,False,False
pd8b-dense-lam100-lr01-s42-rl160,dense,42,104,12.012015,True,False,False
